,feat_0,feat_1,Date,Symbol,Return
3396,-9.268048,-9.045072,2018-08-13,AAPL,0.006436141
3397,-9.026713,-9.000338,2018-08-14,AAPL,0.0042042965
3398,-9.275324,-9.117473,2018-08-15,AAPL,0.00233339
3399,-9.019142,-8.977107,2018-08-16,AAPL,0.014543651
3400,-9.067117,-8.992074,2018-08-17,AAPL,0.019773213
3401,-8.998184,-8.949603,2018-08-20,AAPL,-0.009791321
3402,-9.002267,-9.003062,2018-08-21,AAPL,-0.0019512201
3403,-9.021663,-9.027058,2018-08-22,AAPL,4.65019e-05
3404,-9.20223,-9.1527815,2018-08-23,AAPL,0.0020439455
3405,-9.156825,-9.076403,2018-08-24,AAPL,0.0031043694
3406,-9.42373,-9.021433,2018-08-27,AAPL,0.008200921
3407,-9.378273,-9.024302,2018-08-28,AAPL,0.008043184
